t_s,Tempreature,Gas,Humidity,Pressure,Altitude,pm25_standard,pm25_env,pm10_standard,pm100_standard,particles_03um,particles_05um,particles_10um,particles_25um,particles_50um,particles_100um
0,34.0,17418,100,749.831,2468.44,1,1,1,1,213,65,9,1,0,0
1,22.9,2144,34.4,1006.288,58.12,1,1,0,1,207,65,9,1,0,0
2,22.9,3794,34.3,1006.303,58.0,1,1,0,1,207,65,9,1,0,0
3,22.9,5349,34.3,1006.316,57.89,1,1,0,1,207,65,9,1,0,0
4,22.9,7016,34.2,1006.32,57.85,1,1,0,1,189,57,6,1,0,0
5,22.9,8754,34.1,1006.329,57.78,1,1,0,1,189,57,6,1,0,0
6,22.9,10475,34.0,1006.346,57.64,1,1,0,1,189,57,6,1,0,0
7,22.9,12171,34.0,1006.345,57.64,1,1,0,1,195,59,6,1,0,0
8,22.9,13880,33.9,1006.322,57.84,1,1,0,1,195,59,6,1,0,0
9,22.9,15466,33.8,1006.303,58.0,1,1,0,1,195,59,6,1,0,0
10,22.9,16932,33.8,1006.287,58.13,1,1,0,1,222,68,9,1,0,0
11,22.9,18430,33.8,1006.278,58.21,1,1,0,1,222,68,9,1,0,0
12,22.9,20028,33.9,1006.269,58.28,1,1,0,1,222,68,9,1,0,0
13,23.0,21795,34.0,1006.264,58.33,1,1,0,1,216,66,8,1,0,0
14,23.0,23429,34.0,1006.286,58.14,1,1,0,1,216,66,8,1,0,0
15,23.0,24996,34.1,1006.307,57.97,1,1,0,1,216,66,8,1,0,0
16,23.0,26824,34.1,1006.319,57.86,1,1,0,1,198,62,8,1,0,0
17,23.0,28305,34.1,1006.333,57.75,1,1,0,1,198,62,8,1,0,0
18,23.0,29875,34.1,1006.337,57.72,1,1,0,1,198,62,8,1,0,0
19,23.0,31350,34.1,1006.343,57.67,1,1,0,1,186,60,10,1,0,0
20,23.0,32750,34.0,1006.342,57.67,1,1,0,1,186,60,10,1,0,0
21,23.0,34336,34.0,1006.348,57.62,1,1,0,1,186,60,10,1,0,0
22,23.0,35600,34.0,1006.327,57.8,1,1,0,1,210,58,9,1,0,0
23,23.0,37026,33.9,1006.305,57.98,1,1,0,1,210,58,9,1,0,0
24,23.1,38292,33.9,1006.277,58.22,1,1,0,1,210,58,9,1,0,0
25,23.1,39501,33.8,1006.271,58.26,1,1,1,1,264,76,10,1,0,0
26,23.1,40906,33.8,1006.266,58.31,1,1,1,1,264,76,10,1,0,0
27,23.1,42163,33.8,1006.26,58.36,1,1,1,1,264,76,10,1,0,0
28,23.1,43455,33.7,1006.27,58.28,1,1,1,1,270,78,9,1,0,0
29,23.1,44688,33.6,1006.298,58.04,1,1,1,1,270,78,9,1,0,0
30,23.1,45843,33.6,1006.312,57.92,1,1,1,1,270,78,9,1,0,0
31,23.1,46853,33.5,1006.324,57.82,1,1,1,1,270,78,12,1,0,0
32,23.1,47938,33.5,1006.338,57.7,1,1,1,1,270,78,12,1,0,0
33,23.1,49044,33.4,1006.344,57.65,1,1,1,1,270,78,12,1,0,0
34,23.1,50055,33.3,1006.348,57.62,1,1,1,1,264,78,12,1,0,0
35,23.1,50956,33.3,1006.35,57.6,1,1,1,1,264,78,12,1,0,0
36,23.1,52272,33.2,1006.362,57.51,1,1,1,1,264,78,12,1,0,0
37,23.1,53421,33.1,1006.365,57.48,1,1,1,1,234,68,12,0,0,0
38,23.1,54240,33.1,1006.367,57.46,1,1,1,1,234,68,12,0,0,0
39,23.1,55155,33.0,1006.368,57.45,1,1,1,1,234,68,12,0,0,0
40,23.1,56138,32.9,1006.363,57.49,1,1,1,1,240,68,9,0,0,0
41,23.1,57234,32.9,1006.363,57.5,1,1,1,1,240,68,9,0,0,0
42,23.1,57858,32.9,1006.376,57.39,1,1,1,1,240,68,9,0,0,0
43,23.1,59023,32.8,1006.378,57.37,1,1,1,1,228,64,9,0,0,0
44,23.1,59519,32.8,1006.374,57.41,1,1,1,1,228,64,9,0,0,0
45,23.1,60622,32.7,1006.37,57.44,1,1,1,1,228,64,9,0,0,0
46,23.1,61322,32.7,1006.37,57.44,1,1,1,2,246,68,9,1,1,0
47,23.1,62220,32.7,1006.374,57.41,1,1,1,2,246,68,9,1,1,0
48,23.1,63285,32.6,1006.381,57.34,1,1,1,2,246,68,9,1,1,0
49,23.2,63904,32.6,1006.387,57.29,0,0,0,1,276,74,6,1,1,0
50,23.2,64535,32.6,1006.39,57.27,0,0,0,1,276,74,6,1,1,0
51,23.2,65278,32.6,1006.378,57.37,0,0,0,1,276,74,6,1,1,0
52,23.2,66400,32.5,1006.377,57.38,0,0,0,1,258,76,6,1,1,0
53,23.2,66923,32.5,1006.378,57.38,1,1,1,2,258,76,6,1,1,0
54,23.2,67561,32.5,1006.384,57.32,1,1,1,2,258,76,6,1,1,0
55,23.2,68376,32.5,1006.393,57.25,1,1,1,1,222,62,6,1,1,0
56,23.2,69324,32.5,1006.388,57.29,1,1,1,1,222,62,6,1,1,0
57,23.2,69894,32.4,1006.391,57.26,1,1,1,1,222,62,6,1,1,0
58,23.2,70474,32.4,1006.39,57.27,1,1,1,1,240,68,7,1,1,0
59,23.2,71844,32.4,1006.391,57.26,1,1,1,1,240,68,7,1,1,0
60,23.2,72210,32.4,1006.384,57.33,1,1,1,1,240,68,7,1,1,0
61,23.2,72766,32.4,1006.384,57.32,1,1,1,1,252,70,4,1,1,0
62,23.2,73458,32.4,1006.383,57.33,1,1,1,1,252,70,4,1,1,0
63,23.2,74034,32.4,1006.386,57.3,1,1,1,1,252,70,4,1,1,0
64,23.2,74948,32.4,1006.389,57.28,1,1,1,2,264,74,7,1,1,0
65,23.2,75347,32.4,1006.393,57.24,1,1,1,2,264,74,7,1,1,0
66,23.2,76568,32.4,1006.397,57.21,1,1,1,2,264,74,7,1,1,0
67,23.2,77054,32.4,1006.392,57.26,1,1,1,2,288,82,9,1,1,0
68,23.2,77054,32.4,1006.383,57.33,1,1,1,2,288,82,9,1,1,0
69,23.2,77830,32.4,1006.385,57.31,1,1,1,2,288,82,9,1,1,0
71,23.2,78550,32.4,1006.389,57.28,1,1,1,2,258,74,9,1,1,0
72,23.2,79061,32.4,1006.393,57.25,1,1,1,2,258,74,9,1,1,0
73,23.2,79878,32.4,1006.392,57.25,1,1,1,2,258,74,9,1,1,0
74,23.2,80943,32.4,1006.382,57.34,1,1,1,2,288,82,9,1,1,0
