t_s,Tempreature,Gas,Humidity,Pressure,Altitude,pm25_standard,pm25_env,pm10_standard,pm100_standard,particles_03um,particles_05um,particles_10um,particles_25um,particles_50um,particles_100um
0,34.0,129278,100,749.831,2468.44,0,0,0,0,192,50,6,0,0,0
1,22.6,26440,34.8,1006.149,59.29,0,0,0,0,192,50,6,0,0,0
2,22.6,45355,34.8,1006.186,58.98,1,1,0,1,210,52,10,1,0,0
3,22.6,61190,34.7,1006.202,58.85,1,1,0,1,210,52,10,1,0,0
4,22.6,73395,34.6,1006.214,58.75,1,1,0,1,210,52,10,1,0,0
5,22.6,83569,34.5,1006.23,58.61,1,1,0,1,198,50,9,1,0,0
6,22.6,91092,34.4,1006.245,58.49,1,1,0,1,198,50,9,1,0,0
7,22.6,96099,34.4,1006.245,58.48,1,1,0,1,198,50,9,1,0,0
8,22.6,101070,34.3,1006.243,58.5,1,1,1,1,216,56,10,1,0,0
9,22.6,105133,34.3,1006.248,58.46,1,1,1,1,216,56,10,1,0,0
10,22.7,109677,34.2,1006.247,58.47,1,1,1,1,216,56,10,1,0,0
11,22.7,112508,34.2,1006.248,58.46,1,1,1,1,228,60,10,1,0,0
12,22.7,115098,34.2,1006.238,58.54,1,1,1,1,228,60,10,1,0,0
13,22.7,118550,34.1,1006.241,58.52,0,0,0,0,228,60,10,1,0,0
14,22.7,119382,34.1,1006.243,58.5,0,0,0,0,228,60,10,1,0,0
15,22.8,123010,34.1,1006.245,58.48,0,0,0,0,228,60,10,1,0,0
16,22.8,124542,34.0,1006.248,58.46,1,1,1,1,228,60,10,1,0,0
17,22.8,126866,34.0,1006.248,58.46,1,1,1,1,222,58,10,1,0,0
18,22.8,128302,33.9,1006.249,58.45,1,1,1,1,222,58,10,1,0,0
19,22.8,129969,33.9,1006.255,58.4,1,1,1,1,222,58,10,1,0,0
20,22.9,130268,33.9,1006.255,58.4,0,0,0,0,216,54,9,1,0,0
21,22.9,131274,33.8,1006.258,58.37,0,0,0,0,216,54,9,1,0,0
22,22.9,133125,33.8,1006.26,58.36,0,0,0,0,216,54,9,1,0,0
23,22.9,134494,33.7,1006.256,58.39,1,1,1,1,234,60,11,1,0,0
24,22.9,135028,33.7,1006.242,58.51,1,1,1,1,234,60,11,1,0,0
25,22.9,136000,33.7,1006.242,58.51,1,1,1,1,234,60,11,1,0,0
26,22.9,136327,33.7,1006.234,58.57,1,1,1,1,204,58,11,1,0,0
27,23.0,136327,33.7,1006.234,58.58,0,0,0,0,204,58,11,1,0,0
28,23.0,137652,33.7,1006.234,58.58,0,0,0,0,204,58,11,1,0,0
29,23.0,138662,33.7,1006.232,58.6,0,0,0,0,210,56,11,1,0,0
30,23.0,139230,33.8,1006.237,58.55,1,1,0,1,210,56,11,1,0,0
31,23.0,139459,33.8,1006.239,58.53,1,1,0,1,210,56,11,1,0,0
32,23.0,141667,33.8,1006.24,58.53,1,1,0,1,216,54,7,0,0,0
33,23.0,142140,33.8,1006.244,58.5,1,1,0,1,216,54,7,0,0,0
34,23.0,142379,33.7,1006.24,58.53,1,1,0,1,216,54,7,0,0,0
35,23.0,143218,33.7,1006.25,58.45,1,1,1,1,267,68,7,0,0,0
36,23.0,143339,33.7,1006.251,58.43,1,1,1,1,267,68,7,0,0,0
37,23.0,144312,33.6,1006.244,58.49,1,1,1,1,267,68,7,0,0,0
38,23.0,145175,33.6,1006.244,58.5,1,1,1,1,261,66,7,0,0,0
39,23.0,145798,33.5,1006.24,58.52,1,1,1,1,261,66,7,0,0,0
40,23.0,146425,33.5,1006.241,58.52,1,1,1,1,261,66,7,0,0,0
41,23.0,146805,33.4,1006.239,58.54,1,1,0,1,267,66,8,0,0,0
42,23.0,147698,33.4,1006.241,58.52,1,1,0,1,267,66,8,0,0,0
43,23.0,149254,33.3,1006.241,58.52,1,1,0,1,267,66,8,0,0,0
44,22.9,150177,33.2,1006.243,58.51,1,1,1,1,309,72,8,0,0,0
45,22.9,150442,33.0,1006.241,58.52,1,1,1,1,309,72,8,0,0,0
46,22.9,150177,32.9,1006.232,58.6,1,1,1,1,309,72,8,0,0,0
47,22.9,151921,32.8,1006.222,58.68,1,1,1,1,333,78,8,0,0,0
48,22.8,151786,32.7,1006.225,58.65,1,1,1,1,333,78,8,0,0,0
49,22.8,152057,32.6,1006.226,58.64,1,1,1,1,333,78,8,0,0,0
50,22.8,151650,32.6,1006.231,58.6,1,1,1,1,333,82,11,0,0,0
51,22.8,152193,32.6,1006.231,58.6,1,1,1,1,333,82,11,0,0,0
52,22.7,153707,32.6,1006.217,58.72,1,1,1,1,333,82,11,0,0,0
53,22.7,153568,32.6,1006.216,58.73,1,1,1,1,369,84,8,0,0,0
54,22.7,153568,32.6,1006.219,58.7,1,1,1,1,369,84,8,0,0,0
55,22.6,154265,32.5,1006.22,58.69,1,1,1,1,369,84,8,0,0,0
56,22.6,154125,32.6,1006.222,58.68,1,1,1,1,363,82,9,0,0,0
57,22.5,154265,32.6,1006.225,58.66,1,1,1,1,363,82,9,0,0,0
58,22.5,154125,32.6,1006.221,58.69,1,1,1,1,363,82,9,0,0,0
59,22.5,154405,32.6,1006.217,58.72,1,1,1,1,369,86,9,0,0,0
60,22.4,155820,32.7,1006.189,58.95,1,1,1,1,369,86,9,0,0,0
61,22.4,154827,32.7,1006.172,59.1,1,1,1,1,369,86,9,0,0,0
62,22.3,155393,32.8,1006.136,59.4,1,1,1,1,363,92,9,0,0,0
63,22.3,154968,32.8,1006.106,59.65,1,1,1,1,363,92,9,0,0,0
64,22.2,155251,32.9,1006.075,59.91,1,1,1,1,363,92,9,0,0,0
65,22.2,156250,33.0,1006.048,60.14,1,1,1,1,318,78,9,0,0,0
66,22.1,156682,33.0,1006.026,60.32,1,1,1,1,318,78,9,0,0,0
67,22.1,156827,33.0,1006.014,60.42,1,1,1,1,318,78,9,0,0,0
68,22.0,156827,33.0,1006.0,60.54,1,1,1,1,324,80,8,0,0,0
69,22.0,157699,33.1,1005.972,60.77,1,1,1,1,324,80,8,0,0,0
71,21.9,158140,33.1,1005.935,61.08,1,1,1,1,324,80,8,0,0,0
72,21.9,158140,33.1,1005.91,61.29,1,1,1,1,306,76,8,0,0,0
73,21.8,157699,33.1,1005.877,61.57,1,1,1,1,306,76,8,0,0,0
74,21.8,158140,33.2,1005.847,61.82,1,1,1,1,306,76,8,0,0,0
75,21.7,158434,33.2,1005.81,62.13,1,1,1,1,282,72,7,0,0,0
76,21.7,158582,33.2,1005.781,62.37,1,1,1,1,282,72,7,0,0,0
77,21.6,159176,33.3,1005.761,62.54,1,1,1,1,282,72,7,0,0,0
78,21.6,159027,33.3,1005.749,62.64,1,1,1,1,300,78,8,1,0,0
79,21.5,159925,33.4,1005.737,62.74,1,1,1,1,300,78,8,1,0,0
80,21.5,159925,33.4,1005.734,62.76,1,1,1,1,300,78,8,1,0,0
81,21.4,159774,33.5,1005.725,62.84,1,1,1,1,300,78,5,1,0,0
82,21.3,160833,33.5,1005.716,62.91,1,1,1,1,300,78,5,1,0,0
83,21.3,159925,33.5,1005.711,62.96,1,1,1,1,300,78,5,1,0,0
84,21.2,159325,33.6,1005.702,63.04,1,1,1,1,258,74,6,1,0,0
85,21.2,161137,33.6,1005.701,63.04,1,1,1,1,258,74,6,1,0,0
86,21.1,161597,33.6,1005.703,63.02,1,1,1,1,258,74,6,1,0,0
87,21.1,162524,33.7,1005.705,63.01,1,1,1,1,252,70,5,1,0,0
88,21.0,159027,33.7,1005.702,63.03,1,1,1,1,252,70,5,1,0,0
89,20.9,162524,33.7,1005.694,63.1,1,1,1,1,252,70,5,1,0,0
90,20.8,159925,33.8,1005.691,63.13,1,1,1,1,270,72,5,1,0,0
91,20.7,159774,33.9,1005.694,63.1,1,1,1,1,270,72,5,1,0,0
92,20.6,160681,33.9,1005.698,63.07,1,1,1,1,270,72,5,1,0,0
93,20.5,160075,34.0,1005.702,63.03,1,1,1,1,258,68,4,1,0,0
94,20.4,160985,34.1,1005.702,63.03,1,1,1,1,258,68,4,1,0,0
95,20.3,160985,34.2,1005.705,63.01,1,1,1,1,258,68,4,1,0,0
96,20.2,161751,34.3,1005.705,63.01,1,1,1,1,276,72,4,1,0,0
97,20.1,160681,34.4,1005.711,62.96,1,1,1,1,276,72,4,1,0,0
98,20.0,161751,34.5,1005.709,62.97,1,1,1,1,276,72,4,1,0,0
99,19.9,162991,34.6,1005.706,63.0,1,1,1,1,270,70,5,1,0,0
100,19.8,161290,34.7,1005.71,62.97,1,1,1,1,270,70,5,1,0,0
101,19.7,161597,34.8,1005.711,62.96,1,1,1,1,270,70,5,1,0,0
102,19.6,163148,34.9,1005.717,62.9,1,1,1,1,294,78,5,2,0,0
103,19.5,162369,35.0,1005.719,62.89,1,1,1,1,294,78,5,2,0,0
104,19.4,162214,35.1,1005.726,62.83,1,1,1,1,294,78,5,2,0,0
105,19.3,162524,35.2,1005.737,62.74,2,2,1,2,312,88,14,2,0,0
106,19.2,162214,35.3,1005.733,62.77,2,2,1,2,312,88,14,2,0,0
107,19.1,162059,35.5,1005.73,62.79,2,2,1,2,312,88,14,2,0,0
108,19.0,162679,35.6,1005.726,62.83,2,2,1,2,306,86,14,1,0,0
109,18.9,162524,35.8,1005.718,62.9,2,2,1,2,306,86,14,1,0,0
110,18.8,163305,35.9,1005.721,62.87,2,2,1,2,306,86,14,1,0,0
111,18.7,162991,36.1,1005.716,62.92,2,2,1,2,336,92,15,1,0,0
112,18.6,161597,36.2,1005.704,63.01,2,2,1,2,336,92,15,1,0,0
113,18.5,161290,36.4,1005.711,62.95,2,2,1,2,336,92,15,1,0,0
114,18.4,162369,36.5,1005.702,63.03,2,2,1,2,393,102,17,1,0,0
115,18.3,161137,36.7,1005.7,63.05,2,2,1,2,393,102,17,1,0,0
116,18.2,162059,36.9,1005.693,63.11,2,2,1,2,393,102,17,1,0,0
117,18.1,162059,37.0,1005.694,63.1,3,3,1,3,405,108,18,1,0,0
118,18.0,162991,37.2,1005.697,63.08,3,3,1,3,405,108,18,1,0,0
119,17.8,163619,37.3,1005.706,63.0,3,3,1,3,405,108,18,1,0,0
120,17.7,163148,37.5,1005.714,62.93,3,3,2,3,444,125,20,1,0,0
121,17.6,161597,37.6,1005.709,62.98,3,3,2,3,444,125,20,1,0,0
122,17.5,162991,37.8,1005.719,62.89,3,3,2,3,444,125,20,1,0,0
123,17.4,163462,38.0,1005.718,62.9,3,3,2,3,495,140,21,1,0,0
124,17.3,162059,38.1,1005.721,62.87,3,3,2,3,495,140,21,1,0,0
125,17.2,163934,38.3,1005.722,62.86,3,3,2,3,495,140,21,1,0,0
126,17.1,163148,38.5,1005.725,62.84,3,3,2,3,495,142,22,2,0,0
127,17.0,162991,38.7,1005.731,62.79,3,3,2,3,495,142,22,2,0,0
128,16.9,161751,38.8,1005.728,62.82,3,3,2,3,495,142,22,2,0,0
129,16.8,162059,39.0,1005.723,62.86,4,4,2,4,546,152,22,2,0,0
130,16.8,162059,39.2,1005.724,62.85,4,4,2,4,546,152,22,2,0,0
131,16.7,162369,39.4,1005.73,62.8,4,4,2,4,546,152,22,2,0,0
132,16.6,161751,39.6,1005.737,62.74,4,4,2,4,528,146,28,2,0,0
133,16.5,162214,39.8,1005.742,62.7,4,4,2,4,528,146,28,2,0,0
134,16.4,161751,40.0,1005.739,62.73,4,4,2,4,528,146,28,2,0,0
